Step,gigrpo_llama3.1-8b_alf_balance_cold_start_lr2e7_ds64_bs16_1106 - episode/success_rate,gigrpo_llama3.1-8b_alf_balance_cold_start_lr2e7_ds64_bs16_1106 - episode/success_rate__MIN,gigrpo_llama3.1-8b_alf_balance_cold_start_lr2e7_ds64_bs16_1106 - episode/success_rate__MAX,grpo_llama3.1-8b_alf_balance_cold_start_old_template_lr5e7_bs32_kl0.01_1030 - episode/success_rate,grpo_llama3.1-8b_alf_balance_cold_start_old_template_lr5e7_bs32_kl0.01_1030 - episode/success_rate__MIN,grpo_llama3.1-8b_alf_balance_cold_start_old_template_lr5e7_bs32_kl0.01_1030 - episode/success_rate__MAX,rlvcr_llama3.1-8b_alf_balance_cold_start_lr1e6_bs32_kl0.1_probs_1030 - episode/success_rate,rlvcr_llama3.1-8b_alf_balance_cold_start_lr1e6_bs32_kl0.1_probs_1030 - episode/success_rate__MIN,rlvcr_llama3.1-8b_alf_balance_cold_start_lr1e6_bs32_kl0.1_probs_1030 - episode/success_rate__MAX
136,0.796875,0.796875,0.796875,0.65625,0.65625,0.65625,0.703125,0.703125,0.703125
137,0.953125,0.953125,0.953125,0.671875,0.671875,0.671875,0.90625,0.90625,0.90625
138,0.6875,0.6875,0.6875,0.578125,0.578125,0.578125,0.765625,0.765625,0.765625
139,0.953125,0.953125,0.953125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125
140,0.828125,0.828125,0.828125,0.8125,0.8125,0.8125,0.78125,0.78125,0.78125
141,0.765625,0.765625,0.765625,0.921875,0.921875,0.921875,0.859375,0.859375,0.859375
142,0.890625,0.890625,0.890625,0.875,0.875,0.875,0.90625,0.90625,0.90625
143,0.8125,0.8125,0.8125,0.703125,0.703125,0.703125,0.78125,0.78125,0.78125
144,0.765625,0.765625,0.765625,0.6875,0.6875,0.6875,0.921875,0.921875,0.921875
145,0.71875,0.71875,0.71875,0.734375,0.234375,0.234375,0.875,0.875,0.875
146,0.90625,0.90625,0.90625,0.671875,0.671875,0.671875,0.921875,0.921875,0.921875
147,0.71875,0.71875,0.71875,0.60625,0.40625,0.40625,0.84375,0.84375,0.84375
148,0.984375,0.984375,0.984375,0.778125,0.578125,0.578125,0.859375,0.859375,0.859375
149,0.765625,0.765625,0.765625,0.6875,0.6875,0.6875,0.703125,0.703125,0.703125
150,0.796875,0.796875,0.796875,0.646875,0.546875,0.546875,0.765625,0.765625,0.765625
151,0.71875,0.71875,0.71875,0.765625,0.765625,0.765625,0.875,0.875,0.875
152,0.671875,0.671875,0.671875,0.703125,0.703125,0.703125,0.890625,0.890625,0.890625
153,,,,0.890625,0.890625,0.890625,0.890625,0.890625,0.890625
154,,,,0.75,0.75,0.75,0.796875,0.796875,0.796875
155,,,,0.703125,0.703125,0.703125,0.96875,0.96875,0.96875
156,,,,0.859375,0.859375,0.859375,0.71875,0.71875,0.71875
157,,,,0.78125,0.78125,0.78125,0.828125,0.828125,0.828125
158,,,,0.8125,0.8125,0.8125,0.828125,0.828125,0.828125
159,,,,0.515625,0.515625,0.515625,0.796875,0.796875,0.796875
160,,,,0.734375,0.734375,0.734375,0.71875,0.71875,0.71875
161,,,,0.703125,0.703125,0.703125,0.734375,0.734375,0.734375
162,,,,0.984375,0.984375,0.984375,0.640625,0.640625,0.640625
163,,,,0.140625,0.140625,0.140625,0.8125,0.8125,0.8125
164,,,,0.390625,0.390625,0.390625,0.75,0.75,0.75
165,,,,0.828125,0.828125,0.828125,0.828125,0.828125,0.828125
166,,,,0.71875,0.71875,0.71875,0.765625,0.765625,0.765625
167,,,,0.8125,0.8125,0.8125,0.671875,0.671875,0.671875
168,,,,0.609375,0.609375,0.609375,0.6875,0.6875,0.6875
169,,,,0.6875,0.6875,0.6875,0.890625,0.890625,0.890625
170,,,,0.796875,0.796875,0.796875,0.765625,0.765625,0.765625
171,,,,0.703125,0.703125,0.703125,0.875,0.875,0.875
172,,,,,,,0.75,0.75,0.75
173,,,,,,,0.765625,0.765625,0.765625
174,,,,,,,0.703125,0.703125,0.703125
175,,,,,,,0.84375,0.84375,0.84375
176,,,,,,,0.84375,0.84375,0.84375
177,,,,,,,0.71875,0.71875,0.71875
178,,,,,,,0.765625,0.765625,0.765625
179,,,,,,,0.6875,0.6875,0.6875
180,,,,,,,0.828125,0.828125,0.828125
181,,,,,,,0.890625,0.890625,0.890625
182,,,,,,,0.859375,0.859375,0.859375
183,,,,,,,0.765625,0.765625,0.765625
184,,,,,,,0.8125,0.8125,0.8125
185,,,,,,,0.734375,0.734375,0.734375
186,,,,,,,0.75,0.75,0.75
187,,,,,,,0.78125,0.78125,0.78125
188,,,,,,,0.8125,0.8125,0.8125
189,,,,,,,0.671875,0.671875,0.671875
190,,,,,,,0.84375,0.84375,0.84375
191,,,,,,,0.671875,0.671875,0.671875
192,,,,,,,0.734375,0.734375,0.734375
193,,,,,,,0.921875,0.921875,0.921875
194,,,,,,,0.78125,0.78125,0.78125
195,,,,,,,0.875,0.875,0.875
196,,,,,,,0.75,0.75,0.75
197,,,,,,,0.90625,0.90625,0.90625
198,,,,,,,0.828125,0.828125,0.828125
199,,,,,,,0.890625,0.890625,0.890625
200,,,,,,,0.890625,0.890625,0.890625
